City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
30,Banepa,27.6298,85.5214,57.52,77,20,3.44,few clouds
31,Almora,29.6167,79.6667,53.53,53,0,1.41,clear sky
32,Sibolga,1.7427,98.7792,76.87,89,99,3.02,overcast clouds
33,Bokoro,12.3807,17.0568,88.29,13,100,11.63,overcast clouds
34,Shalakusha,62.2247,40.2539,23.79,91,97,6.42,overcast clouds
35,Middleton,53.55,-2.2,49.55,77,100,8.72,overcast clouds
36,Bundaberg,-24.85,152.35,66.49,92,38,6.91,scattered clouds
37,Dingle,10.9995,122.6711,76.57,91,19,5.32,few clouds
38,Usinsk,65.9939,57.5281,7.02,97,56,7.36,broken clouds
39,Moron,-34.6534,-58.6198,79.81,53,0,3.06,clear sky
40,Inirida,3.8653,-67.9239,75.74,94,100,1.9,overcast clouds
41,Marana,32.4367,-111.2254,76.19,11,0,0.0,clear sky
42,Binucayan,8.25,125.7167,73.83,99,66,0.43,broken clouds
43,Marsh Harbour,26.5412,-77.0636,69.01,59,100,19.64,overcast clouds
44,Korem,12.5058,39.5228,58.14,56,11,5.55,few clouds
45,Tucuma,-0.1833,-50.05,78.64,84,100,9.64,overcast clouds
46,Fraserburgh,57.6874,-2.0184,45.12,92,100,28.68,overcast clouds
47,Ewa Beach,21.3156,-158.0072,78.75,61,20,9.22,few clouds
48,Zdvinsk,54.7021,78.661,0.7,94,6,10.33,clear sky
49,Saint-Joseph,-21.3667,55.6167,77.38,85,39,15.3,light rain
50,Taraz,42.9,71.3667,45.01,81,100,8.95,overcast clouds
51,Quibdo,5.6947,-76.6611,92.28,49,80,2.98,broken clouds
52,Senj,44.9894,14.9058,43.47,73,6,1.99,clear sky
53,Sterling,39.0062,-77.4286,41.4,44,20,15.01,few clouds
54,Igrim,63.1906,64.4162,2.28,97,79,5.64,broken clouds
55,George,-33.963,22.4617,56.75,94,100,11.5,overcast clouds
56,Takoradi,4.8845,-1.7554,81.64,81,54,11.05,light rain
57,Yelizovo,53.1873,158.3805,23.14,74,75,4.47,broken clouds
58,Aksarayskiy,46.7924,48.0119,24.33,80,24,7.47,few clouds
59,Chicama,-7.8447,-79.1469,73.94,54,92,9.89,overcast clouds
60,Dalvik,65.9702,-18.5286,33.73,69,15,9.64,few clouds
61,Gorontalo,0.5412,123.0595,75.52,95,95,1.92,overcast clouds
