City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Cidreira,-30.1811,-50.2056,67.46,92,100,13.53,BR,2022-03-13 17:48:26
68,Benoy,8.9833,16.3199,92.12,15,22,4.88,TD,2022-03-13 17:48:26
69,Severo-Kurilsk,50.6789,156.125,28.11,90,98,5.93,RU,2022-03-13 17:48:27
70,Geraldton,-28.7667,114.6,64.81,82,1,0.0,AU,2022-03-13 17:47:32
71,Fairview,40.8126,-73.999,34.83,44,0,18.41,US,2022-03-13 17:48:27
72,Maloy,61.9353,5.1136,49.73,79,100,10.09,NO,2022-03-13 17:48:28
73,Provideniya,64.3833,-173.3,12.9,51,0,12.35,RU,2022-03-13 17:39:14
74,Havoysund,70.9963,24.6622,37.63,82,100,17.25,NO,2022-03-13 17:48:29
75,Ternova,50.1849,36.6757,20.44,92,99,2.17,UA,2022-03-13 17:48:29
76,Xining,36.6167,101.7667,39.61,49,53,0.92,CN,2022-03-13 17:46:51
77,Puerto Ayora,-0.7393,-90.3518,85.96,84,16,3.0,EC,2022-03-13 17:48:30
78,Saldanha,-33.0117,17.9442,61.39,70,68,20.07,ZA,2022-03-13 17:41:38
79,Leningradskiy,69.3833,178.4167,-12.35,96,85,6.62,RU,2022-03-13 17:46:47
80,Monrovia,6.3005,-10.7969,82.11,77,68,12.08,LR,2022-03-13 17:44:41
81,Ugoofaaru,5.6667,73.0,83.05,70,16,4.88,MV,2022-03-13 17:48:31
82,Cherskiy,68.75,161.3,-19.8,100,90,4.94,RU,2022-03-13 17:48:31
83,Christchurch,-43.5333,172.6333,56.95,75,100,8.05,NZ,2022-03-13 17:45:11
84,Guerrero Negro,27.9769,-114.0611,66.72,53,46,15.05,MX,2022-03-13 17:44:14
85,Pietersburg,-23.9045,29.4688,74.25,50,20,10.36,ZA,2022-03-13 17:48:32
86,Hithadhoo,-0.6,73.0833,83.44,71,90,4.92,MV,2022-03-13 17:38:38
87,Senanga,-16.1167,23.2667,70.39,86,87,4.25,ZM,2022-03-13 17:48:33
88,Mao,39.8885,4.2658,57.76,94,75,10.36,ES,2022-03-13 17:48:33
89,Bandarbeyla,9.4942,50.8122,78.22,72,60,12.59,SO,2022-03-13 17:43:57
90,Kang,-23.6752,22.7876,78.33,40,44,5.82,BW,2022-03-13 17:48:34
91,Salinas,36.6777,-121.6555,59.56,80,100,3.44,US,2022-03-13 17:45:26
92,Nicolas De Pierola,-11.95,-76.7,66.61,69,97,10.11,PE,2022-03-13 17:48:34
93,Castro,-24.7911,-50.0119,67.23,95,100,4.72,BR,2022-03-13 17:38:40
94,Salamiyah,35.0113,37.0532,37.26,93,95,7.54,SY,2022-03-13 17:48:35
95,Katsuura,35.1333,140.3,62.4,79,100,27.74,JP,2022-03-13 17:39:02
96,Berbera,10.4396,45.0143,77.88,81,90,9.42,SO,2022-03-13 17:42:06
97,Beyneu,45.3167,55.2,31.06,79,59,8.16,KZ,2022-03-13 17:48:36
98,Road Town,18.4167,-64.6167,84.29,54,20,13.8,VG,2022-03-13 17:38:25
99,Quatre Cocos,-20.2078,57.7625,78.1,85,87,15.66,MU,2022-03-13 17:39:11
100,Avarua,-21.2078,-159.775,75.25,100,40,2.3,CK,2022-03-13 17:48:37
101,Colares,38.7992,-9.4469,59.79,64,40,13.0,PT,2022-03-13 17:48:37
102,Biltine,14.5333,20.9167,85.78,12,66,10.47,TD,2022-03-13 17:48:38
103,Esso,55.9333,158.7,2.86,99,78,4.25,RU,2022-03-13 17:41:29
104,Deming,32.2687,-107.7586,51.69,22,0,3.44,US,2022-03-13 17:48:38
105,Kampong Thum,12.7111,104.8887,83.21,65,85,10.89,KH,2022-03-13 17:48:39
106,Lata,40.1629,-8.3327,51.24,78,99,3.94,PT,2022-03-13 17:48:39
107,Raudeberg,61.9875,5.1352,48.87,79,100,10.42,NO,2022-03-13 17:41:34
108,Gap,44.6667,6.0,29.16,98,100,5.88,FR,2022-03-13 17:48:40
109,Ulladulla,-35.35,150.4667,59.9,91,2,3.49,AU,2022-03-13 17:42:24
110,Kargil,34.5667,76.1,7.25,76,44,3.29,IN,2022-03-13 17:48:40
111,Bereda,43.2686,-7.5406,47.14,87,95,7.56,ES,2022-03-13 17:48:41
112,Byron Bay,-28.65,153.6167,64.29,82,57,7.2,AU,2022-03-13 17:48:41
113,Savannah Bight,16.45,-85.85,79.99,70,22,8.66,HN,2022-03-13 17:48:41
114,Carnarvon,-24.8667,113.6333,75.27,83,0,18.41,AU,2022-03-13 17:48:42
115,Lagoa,39.05,-27.9833,55.49,58,68,16.35,PT,2022-03-13 17:48:42
116,Mandalgovi,45.7625,106.2708,26.85,58,22,8.1,MN,2022-03-13 17:48:43
117,Saint-Pierre,-21.3393,55.4781,78.91,85,75,23.02,RE,2022-03-13 17:48:43
118,Ola,59.5833,151.2833,2.14,81,100,6.31,RU,2022-03-13 17:48:44
119,Palembang,-2.9167,104.7458,80.69,89,40,6.91,ID,2022-03-13 17:48:44
120,Vanino,49.0869,140.2543,18.05,98,99,2.57,RU,2022-03-13 17:48:45
121,Nikolskoye,59.7035,30.7861,33.78,99,61,3.04,RU,2022-03-13 17:48:45
122,Rudbar,30.15,62.6,82.87,22,86,6.33,AF,2022-03-13 17:42:06
123,Sitka,57.0531,-135.33,37.29,81,100,0.0,US,2022-03-13 17:48:46
124,Hilo,19.7297,-155.09,71.26,68,0,8.05,US,2022-03-13 17:44:53
125,Riberalta,-10.9833,-66.1,84.4,74,75,6.91,BO,2022-03-13 17:48:47
126,Kyra,49.5776,111.9753,18.7,97,100,3.04,RU,2022-03-13 17:48:49
127,Lebu,-37.6167,-73.65,64.54,61,1,20.45,CL,2022-03-13 17:48:50
128,Cuenca,-2.8833,-78.9833,69.93,46,40,3.44,EC,2022-03-13 17:48:08
129,Cap Malheureux,-19.9842,57.6142,78.48,86,76,5.99,MU,2022-03-13 17:48:50
130,Vulcan,45.3833,23.2667,26.6,79,62,1.57,RO,2022-03-13 17:48:51
131,Salmon Creek,45.7107,-122.649,47.16,87,100,13.8,US,2022-03-13 17:48:51
132,Balabac,7.9868,117.0645,80.8,81,64,6.33,PH,2022-03-13 17:48:52
133,Bambous Virieux,-20.3428,57.7575,78.22,88,40,9.22,MU,2022-03-13 17:45:28
134,Zhigansk,66.7697,123.3711,-19.26,98,89,11.3,RU,2022-03-13 17:42:34
135,Vila Velha,-20.3297,-40.2925,87.75,70,20,16.11,BR,2022-03-13 17:48:52
136,Japura,-0.3167,102.35,74.64,98,93,0.22,ID,2022-03-13 17:48:53
137,Kodiak,57.79,-152.4072,38.71,81,100,18.41,US,2022-03-13 17:44:01
138,Cairns,-16.9167,145.7667,78.06,94,40,8.05,AU,2022-03-13 17:37:37
139,Marzuq,14.4,46.4667,64.11,59,31,7.76,YE,2022-03-13 17:48:54
140,Enid,36.3956,-97.8784,60.31,18,0,21.85,US,2022-03-13 17:48:55
141,Lasa,46.6166,10.7002,40.08,91,50,4.32,IT,2022-03-13 17:48:55
142,Gallup,35.5281,-108.7426,47.16,40,0,4.61,US,2022-03-13 17:48:56
143,Eregli,37.5133,34.0467,16.14,77,85,5.35,TR,2022-03-13 17:39:08
144,Cap-Aux-Meules,47.3821,-61.8597,19.45,79,75,33.38,CA,2022-03-13 17:48:56
145,Antalaha,-14.9003,50.2788,75.63,85,100,8.86,MG,2022-03-13 17:42:16
146,Cabedelo,-6.9811,-34.8339,86.67,68,89,10.47,BR,2022-03-13 17:42:27
147,Matara,5.9485,80.5353,78.15,85,99,2.73,LK,2022-03-13 17:48:57
148,Vestmannaeyjar,63.4427,-20.2734,40.19,81,20,17.27,IS,2022-03-13 17:48:58
149,Asau,46.4333,26.4,32.92,98,100,1.43,RO,2022-03-13 17:48:58
150,Srednekolymsk,67.45,153.6833,-17.93,100,100,5.06,RU,2022-03-13 17:47:59
151,Sobolevo,54.4299,31.8996,24.12,93,89,5.77,RU,2022-03-13 17:39:40
152,Codrington,-38.2667,141.9667,60.13,96,78,6.73,AU,2022-03-13 17:46:44
153,Basoko,1.2391,23.616,73.81,87,81,4.41,CD,2022-03-13 17:48:59
154,Torbay,47.6666,-52.7314,38.57,79,100,39.12,CA,2022-03-13 17:49:00
155,Yarkovo,57.4028,67.0786,10.69,89,91,6.98,RU,2022-03-13 17:49:00
156,Namibe,-15.1961,12.1522,73.44,75,93,9.84,AO,2022-03-13 17:40:13
157,Gazanjyk,39.2446,55.5154,50.38,48,82,10.07,TM,2022-03-13 17:49:01
158,Cravo Norte,6.3017,-70.2041,91.04,43,98,9.15,CO,2022-03-13 17:49:01
159,Sao Sebastiao,-23.76,-45.4097,79.39,84,99,3.98,BR,2022-03-13 17:49:01
160,Salalah,17.0151,54.0924,78.89,73,20,2.3,OM,2022-03-13 17:42:28
161,Hirara,24.8,125.2833,70.81,73,56,8.79,JP,2022-03-13 17:42:19
162,Morros,-9.4467,-46.3003,88.95,46,48,3.18,BR,2022-03-13 17:49:02
163,Aykhal,66.0,111.5,-22.34,100,90,3.04,RU,2022-03-13 17:49:03
164,Ahipara,-35.1667,173.1667,61.07,91,12,4.92,NZ,2022-03-13 17:40:56
165,Port Elizabeth,-33.918,25.5701,65.1,94,100,17.27,ZA,2022-03-13 17:44:31
166,Pangnirtung,66.1451,-65.7125,-20.2,69,0,3.44,CA,2022-03-13 17:49:04
167,Bengkulu,-3.8004,102.2655,78.01,87,100,3.96,ID,2022-03-13 17:49:04
168,Faanui,-16.4833,-151.75,81.28,72,96,9.44,PF,2022-03-13 17:49:05
169,Chokwe,-24.5333,32.9833,78.82,68,6,8.12,MZ,2022-03-13 17:49:05
170,Hasaki,35.7333,140.8333,63.0,74,100,25.34,JP,2022-03-13 17:39:28
171,Port Lincoln,-34.7333,135.8667,70.25,58,92,11.34,AU,2022-03-13 17:39:38
172,Nemuro,43.3236,145.575,30.72,89,100,6.35,JP,2022-03-13 17:49:06
173,Rocha,-34.4833,-54.3333,75.94,43,43,5.48,UY,2022-03-13 17:39:14
174,Los Llanos De Aridane,28.6585,-17.9182,67.75,73,20,9.22,ES,2022-03-13 17:42:18
175,Barrow,71.2906,-156.7887,-23.78,76,0,10.36,US,2022-03-13 17:45:02
176,Ishigaki,24.3448,124.1572,71.06,71,20,8.3,JP,2022-03-13 17:49:07
177,Tateyama,34.9833,139.8667,64.09,80,100,29.21,JP,2022-03-13 17:41:57
178,Aklavik,68.2191,-135.0107,-20.2,76,20,4.61,CA,2022-03-13 17:42:36
179,Culebra,18.303,-65.301,84.29,73,22,16.28,PR,2022-03-13 17:49:08
180,Saint-Philippe,-21.3585,55.7679,78.39,88,86,16.64,RE,2022-03-13 17:39:21
181,Apatou,5.155,-54.3472,79.43,95,100,4.92,GF,2022-03-13 17:49:08
182,Kiama,-34.6833,150.8667,61.38,92,16,4.09,AU,2022-03-13 17:49:09
183,Adrar,20.5022,-10.0711,82.56,7,0,5.3,MR,2022-03-13 17:49:09
184,Kruisfontein,-34.0033,24.7314,62.89,93,100,10.74,ZA,2022-03-13 17:49:10
185,Vila Franca Do Campo,37.7167,-25.4333,59.41,59,62,19.71,PT,2022-03-13 17:39:16
186,Benghazi,32.1167,20.0667,55.62,62,100,16.55,LY,2022-03-13 17:49:10
187,Mahibadhoo,3.7833,72.9667,82.92,74,24,6.96,MV,2022-03-13 17:49:11
188,La Ronge,55.1001,-105.2842,8.85,52,40,9.22,CA,2022-03-13 17:49:11
189,Nouakchott,18.0858,-15.9785,84.13,46,0,18.28,MR,2022-03-13 17:49:11
190,Lakhnadon,22.6,79.6,74.07,14,0,1.19,IN,2022-03-13 17:49:12
191,Ucluelet,48.9329,-125.5528,48.09,85,97,5.17,CA,2022-03-13 17:45:24
192,Maningrida,-12.0667,134.2667,76.68,92,100,6.35,AU,2022-03-13 17:49:13
193,Shieli,44.1667,66.75,40.12,66,31,5.19,KZ,2022-03-13 17:49:13
194,Taksimo,56.3444,114.8794,-0.26,95,100,2.8,RU,2022-03-13 17:49:14
195,Clyde River,70.4692,-68.5914,-19.97,69,100,3.44,CA,2022-03-13 17:35:07
196,Yerbogachen,61.2767,108.0108,-20.72,100,76,0.63,RU,2022-03-13 17:40:21
197,Caucaia,-3.7361,-38.6531,85.95,75,40,8.05,BR,2022-03-13 17:49:14
198,Hami,42.8,93.45,53.01,32,12,7.27,CN,2022-03-13 17:42:08
199,Ridgecrest,35.6225,-117.6709,67.01,17,0,23.02,US,2022-03-13 17:49:15
200,Sao Filipe,14.8961,-24.4956,74.26,64,2,14.25,CV,2022-03-13 17:49:16
201,Flinders,-34.5833,150.8552,61.18,91,15,4.0,AU,2022-03-13 17:49:16
202,Noumea,-22.2763,166.4572,81.0,99,7,6.71,NC,2022-03-13 17:49:16
203,Saskylakh,71.9167,114.0833,-20.76,99,97,4.27,RU,2022-03-13 17:49:17
204,Punta Alta,-38.8759,-62.0736,75.6,35,24,7.25,AR,2022-03-13 17:40:41
