City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
278,San Ramon,US,78.82,clear sky,37.7799,-121.978,San Ramon Marriott
283,Uribia,CO,82.96,overcast clouds,11.7139,-72.266,Hotel Uribia
285,Pyu,MM,75.45,overcast clouds,18.4833,96.4333,Mr Bo Bo
293,Bonthe,SL,77.49,light rain,7.5264,-12.505,Bonthe Holiday Village
295,Sao Raimundo Das Mangabeiras,BR,78.94,scattered clouds,-7.0219,-45.4811,Hotel Tropical
298,Pandan,PH,80.11,overcast clouds,14.0453,124.1694,Bonifacio Lodge
301,Meiktila,MM,80.67,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
306,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
316,Biltine,TD,80.51,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
321,Piacabucu,BR,80.2,few clouds,-10.4056,-36.4344,Piaçabuçu News
328,Acajutla,SV,85.46,clear sky,13.5928,-89.8275,Laureles
332,Manavalakurichi,IN,79.0,few clouds,8.1333,77.3,Jebinrio home
335,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
340,Lamu,KE,79.02,few clouds,-2.2717,40.902,Lamu House
345,Lamu,KE,79.02,few clouds,-2.2717,40.902,Lamu House
346,Kirakira,SB,84.11,broken clouds,-10.4544,161.9205,SanBiz Lodge
349,Iralaya,HN,80.33,overcast clouds,15.0,-83.2333,Iglesia morava renovada
356,Savannah Bight,HN,80.55,clear sky,16.45,-85.85,Villa on Dunbar Rock
358,Neiafu,TO,82.92,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
366,Kourou,GF,80.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
370,Chon Daen,TH,81.19,broken clouds,16.1895,100.8596,ซับขลุง
377,Pandan,PH,80.11,overcast clouds,14.0453,124.1694,Bonifacio Lodge
378,Caramay,PH,79.27,overcast clouds,10.1815,119.236,Peace and Love Beach Club
383,Choix,MX,81.25,clear sky,26.7092,-108.3219,Hotel Montesclaros
386,Terenos,BR,82.11,scattered clouds,-20.4422,-54.8603,Rancho Pitzer
389,Victoria Point,AU,79.18,clear sky,-27.5833,153.3,Bay Retreat Motel
390,Kulachi,PK,76.6,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
394,Puerto Baquerizo Moreno,EC,83.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
395,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
396,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
399,Sola,VU,80.76,moderate rain,-13.8833,167.55,Leumerus Bungalows
400,Araouane,ML,75.9,clear sky,18.9048,-3.5265,
405,Barra Do Garcas,BR,75.31,broken clouds,-15.89,-52.2567,Pousada Tropical
411,Gigmoto,PH,80.1,overcast clouds,13.7796,124.39,Cj's Travellers Inn
412,Celestun,MX,84.2,clear sky,20.8667,-90.4,Posada Lilia
422,Ndjole,GA,75.29,overcast clouds,-0.1783,10.7649,Motel Kédyann
427,Nueva Armenia,HN,81.1,clear sky,15.7956,-86.4985,
429,Ambulu,ID,76.35,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
442,Lamu,KE,79.02,few clouds,-2.2717,40.902,Lamu House
448,Abomey,BJ,80.49,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
452,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
454,Sola,VU,80.76,moderate rain,-13.8833,167.55,Leumerus Bungalows
455,Maragogi,BR,77.92,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
458,Teseney,ER,79.88,clear sky,15.11,36.6575,Sabrin Hotel
460,The Valley,AI,78.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
464,Beberibe,BR,78.42,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
465,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
470,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
472,Isangel,VU,81.28,overcast clouds,-19.55,169.2667,Tanna Lodge
477,Isangel,VU,81.28,overcast clouds,-19.55,169.2667,Tanna Lodge
478,Rio Branco,BR,86.61,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
479,Galle,LK,80.15,scattered clouds,6.0367,80.217,Amangalla
